,sex,exam1,exam2,exam3,course_grade
1,Man,84.5,69.5,86.5,76.2564
2,Man,80,74,67,75.3882
3,Man,56,70,71.5,67.0564
4,Man,64,61,67.5,63.4538
5,Man,90.5,72.5,75,72.3949
6,Man,74,78.5,84.5,71.4128
7,Man,60.5,44,58,56.0949
8,Man,89,82,88,78.0103
9,Woman,87.5,86.5,95,82.9026
10,Man,91,98,88,89.0846
11,Man,79.5,88,56,72.9769
12,Man,96,91.5,78,82.5282
13,Man,55,79.5,72,69.9872
14,Man,80,83.5,70,67.7256
15,Woman,64.5,83.5,77,80.3051
16,Man,73,90,96,74.8744
17,Man,83,79,65,71.1615
18,Man,72,91,90,76.5615
19,Woman,57.9,53,47,56.9903
20,Man,89,83.5,78.5,80.8026
21,Woman,69,57,88,69.4308
22,Woman,91,91,95.5,92.0051
23,Man,68,84.5,64,67.9051
24,Man,83,89.5,93,79.7872
25,Man,72,77.5,67,67.1256
26,Woman,56,45,61,58.6308
27,Man,55,71,72,67.8308
28,Woman,68.5,64,93,77.6903
29,Man,68.5,79.5,50.5,69.9308
30,Man,70,71,76,69.6769
31,Man,75,81,81.5,68.0923
32,Man,68.5,66,58,60.3128
33,Man,54,84,88,72.3821
34,Man,79.6,67,72,67.4787
35,Man,85,61,44.5,66.2364
36,Man,82,86.5,92.5,83.3231
37,Woman,65,83.5,87,77.6436
38,Woman,76,50,91.5,70.9462
39,Man,94.5,67,96,86.0133
40,Man,72,67,90,72.0269
41,Man,65.5,82.5,79,77.0282
42,Man,61.5,80.5,81.5,68.2821
43,Man,65,50,43.5,43.2733
44,Man,63,82,88,70.1031
45,Man,75,66.5,76,65.0846
46,Man,69.5,70.5,76,68.6538
47,Woman,60,95,91,83.0508
48,Man,84,88,67,75.0856
49,Man,90,99.5,87.5,74.4718
50,Woman,62.5,85.5,85.5,74.4821
51,Man,88.5,86.5,70,77.9526
52,Man,74.5,83,62.4,78.7554
53,Man,73.5,69.5,74.5,69.0228
54,Man,75,60.5,80.9,68.6502
55,Man,76.5,76,61,73.6702
56,Woman,90.5,68,59,69.7842
57,Man,88,77.5,90.5,84.1474
58,Man,87.2727,58,28,49.1931
59,Man,81.9,86,62,73.9116
60,Man,65.5,90,61.8,68.5425
61,Woman,84.5,80.5,72.5,81.2088
62,Man,88.9,67,76,80.5554
63,Man,70,56,81.5,68.7839
64,Man,73,48,55,65.3088
65,Man,86,77,82,79.6035
66,Man,68,60,59,58.4316
67,Woman,82,74,81.5,76.6842
68,Man,86.4,72,69.5,67.5625
69,Man,74,83,79.9,74.573
70,Man,92.3,76,97,87.0288
71,Man,57,70,56,65.3947
72,Man,62.5,41,77.8,59.8863
73,Man,75.5,62.5,79.7,73.5435
74,Man,67,58,45.8,58.3828
75,Man,73,78,77.3,79.2354
76,Man,93,75,96,71.3228
77,Man,81.5,73,69.5,65.5295
78,Man,82.5,83.5,82.5,81.4474
79,Woman,46.5,77,47,62.8842
80,Man,62,71,64,69.4702
81,Woman,68.5,55.5,52,61.8263
82,Man,80,84,48.5,70.0947
83,Man,77,77,44,68.0404
84,Woman,55,94,96,83.5193
85,Man,69,74.5,41.5,59.0386
86,Woman,74,56,69.9,65.0204
87,Man,93,76,95.5,85.5
88,Man,81,78,79.5,75.7333
89,Man,98,87,85.5,86.5833
90,Man,92.5,81,74.5,77.2833
91,Man,83.5,60.5,78,73.6333
92,Man,98,92,90.5,91.8585
93,Man,80.5,53.5,67.5,62.9555
94,Man,80.9,68,67,72.76
95,Man,84.5,46,65.5,60.6167
96,Man,93.8,59.5,73.3,70.0067
97,Man,98,96.5,98.5,97.5667
98,Man,92,78.5,72,73.2833
99,Man,91,72,81,75.1167
100,Man,80,72,59.5,69.7
101,Man,94,84,98.5,88.8667
102,Man,90,73,63.5,72.9
103,Man,94,82,86.4,80.3267
104,Man,86.5,76,85.5,76.2
105,Man,87,76,72.5,70.7442
106,Man,80.3,88.5,83.5,85.97
107,Man,89.5,66.5,78.9,72.5267
108,Man,70.5,70.5,58,57
109,Man,89.4,84.5,82.5,83.8685
