Demographic_Category,Loan Category,Loan_Amount_Issued
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG SINGLE,PERSONAL,6000
YOUNG FAMILY,BUSINESS,6000
YOUNG FAMILY,PERSONAL,6000
YOUNG FAMILY,PERSONAL,6000
YOUNG FAMILY,PERSONAL,6000
YOUNG FAMILY,PERSONAL,6000
YOUNG FAMILY,PERSONAL,6000
YOUNG FAMILY,PERSONAL,6000
YOUNG FAMILY,PERSONAL,6000
YOUNG FAMILY,PERSONAL,6000
YOUNG FAMILY,PERSONAL,6000
YOUNG FAMILY,PERSONAL,6000
YOUNG FAMILY,PERSONAL,6000
YOUNG FAMILY,PERSONAL,6000
YOUNG FAMILY,PERSONAL,6000
YOUNG FAMILY,PERSONAL,6000
YOUNG FAMILY,PERSONAL,6000
YOUNG FAMILY,PERSONAL,6000
YOUNG FAMILY,PERSONAL,6000
ADULT SINGLE,PERSONAL,6000
ADULT SINGLE,PERSONAL,6000
ADULT SINGLE,PERSONAL,6000
ADULT SINGLE,PERSONAL,6000
ADULT SINGLE,PERSONAL,6000
SINGLE PARENT,PERSONAL,6000
SINGLE PARENT,PERSONAL,6000
SINGLE PARENT,PERSONAL,6000
SINGLE PARENT,PERSONAL,6000
SINGLE PARENT,PERSONAL,6000
SINGLE PARENT,PERSONAL,6000
OVER 50s,BUSINESS,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 50s,PERSONAL,6000
OVER 65s,PERSONAL,6000
OVER 65s,PERSONAL,6000
OVER 65s,PERSONAL,6000
OVER 65s,PERSONAL,6000
OVER 65s,PERSONAL,6000
OVER 65s,PERSONAL,6000
OVER 65s,PERSONAL,6000
OVER 65s,PERSONAL,6000
ADULT SINGLE,PERSONAL,5878.33
YOUNG FAMILY,PERSONAL,5860
YOUNG FAMILY,PERSONAL,5800
SINGLE PARENT,PERSONAL,5798.71
OVER 50s,PERSONAL,5600
YOUNG SINGLE,PERSONAL,5500
YOUNG SINGLE,PERSONAL,5500
YOUNG SINGLE,PERSONAL,5500
YOUNG SINGLE,PERSONAL,5500
YOUNG SINGLE,PERSONAL,5500
YOUNG FAMILY,PERSONAL,5500
ADULT SINGLE,PERSONAL,5500
ADULT SINGLE,PERSONAL,5500
SINGLE PARENT,PERSONAL,5500
OVER 50s,PERSONAL,5500
OVER 50s,PERSONAL,5500
OVER 50s,PERSONAL,5500
OVER 50s,PERSONAL,5500
OVER 65s,PERSONAL,5500
OVER 65s,PERSONAL,5484.44
SINGLE PARENT,PERSONAL,5350
OVER 50s,PERSONAL,5300
ADULT SINGLE,PERSONAL,5250
