Demographic Category,Loan Category,Loan Amount Issued
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range5
TEEN,PERSONAL,Range7
TEEN,PERSONAL,Range7
TEEN,PERSONAL,Range7
TEEN,PERSONAL,Range7
YOUNG SINGLE,BUSINESS,Range7
YOUNG SINGLE,BUSINESS,Range7
YOUNG SINGLE,BUSINESS,Range7
YOUNG SINGLE,BUSINESS,Range7
YOUNG SINGLE,BUSINESS,Range7
YOUNG SINGLE,MORTGAGE/HOUSING,Range7
YOUNG SINGLE,MORTGAGE/HOUSING,Range7
YOUNG SINGLE,MORTGAGE/HOUSING,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
YOUNG SINGLE,PERSONAL,Range7
